"parent_model_code","line_no","component_model_code","quantity","unit_price","component_kind","set_head"
"AF70F17D25WS","1","AF70F17D25WN","1.00","1150000.00","INDOOR","True"
"AF70F17D25WS","2","AF70F17D2QBX","1.00","766000.00","OUTDOOR","False"
"AF70F17D25WS","3","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF70F19D11BRS","1","AF70F19D11BN","1.00","919000.00","INDOOR","True"
"AF70F19D11BRS","2","AF70F19D1PBX","1.00","613000.00","OUTDOOR","False"
"AF70F19D11BRS","3","AR60F06D1A0Q","1.00","200000.00","ACCESSORY","False"
"AF70F19D11BRS","4","AFR-BC3F","1.00","34000.00","REMOTE","False"
"AF70F19D11BRS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
"AF70F19D11BS","1","AF70F19D11BN","1.00","940000.00","INDOOR","True"
"AF70F19D11BS","2","AF70F19D1PBX","1.00","626000.00","OUTDOOR","False"
"AF70F19D11BS","3","AFR-BC3F","1.00","34000.00","REMOTE","False"
"AF70F19D11GRS","1","AF70F19D11GN","1.00","919000.00","INDOOR","True"
"AF70F19D11GRS","2","AF70F19D1PBX","1.00","613000.00","OUTDOOR","False"
"AF70F19D11GRS","3","AR60F06D1A0Q","1.00","200000.00","ACCESSORY","False"
"AF70F19D11GRS","4","AFR-BC3F","1.00","34000.00","REMOTE","False"
"AF70F19D11GRS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
"AF70F19D11GS","1","AF70F19D11GN","1.00","940000.00","INDOOR","True"
"AF70F19D11GS","2","AF70F19D1PBX","1.00","626000.00","OUTDOOR","False"
"AF70F19D11GS","3","AFR-BC3F","1.00","34000.00","REMOTE","False"
"AF70F19D11LRS","1","AF70F19D11LN","1.00","919000.00","INDOOR","True"
"AF70F19D11LRS","2","AF70F19D1PBX","1.00","613000.00","OUTDOOR","False"
"AF70F19D11LRS","3","AR60F06D1A0Q","1.00","200000.00","ACCESSORY","False"
"AF70F19D11LRS","4","AFR-BC3F","1.00","34000.00","REMOTE","False"
"AF70F19D11LRS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
"AF70F19D11LS","1","AF70F19D11LN","1.00","940000.00","INDOOR","True"
"AF70F19D11LS","2","AF70F19D1PBX","1.00","626000.00","OUTDOOR","False"
"AF70F19D11LS","3","AFR-BC3F","1.00","34000.00","REMOTE","False"
"AF70F19D11WRS","1","AF70F19D11WN","1.00","919000.00","INDOOR","True"
"AF70F19D11WRS","2","AF70F19D1PBX","1.00","613000.00","OUTDOOR","False"
"AF70F19D11WRS","3","AR60F06D1A0Q","1.00","200000.00","ACCESSORY","False"
"AF70F19D11WRS","4","AFR-BC3F","1.00","34000.00","REMOTE","False"
"AF70F19D11WRS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
"AF70F19D11WS","1","AF70F19D11WN","1.00","940000.00","INDOOR","True"
"AF70F19D11WS","2","AF70F19D1PBX","1.00","626000.00","OUTDOOR","False"
"AF70F19D11WS","3","AFR-BC3F","1.00","34000.00","REMOTE","False"
"AF70F19D24ERS","1","AF70F19D24EN","1.00","1099000.00","INDOOR","True"
"AF70F19D24ERS","2","AF70F19D2PBX","1.00","733000.00","OUTDOOR","False"
"AF70F19D24ERS","3","AR60F06D1A0Q","1.00","200000.00","ACCESSORY","False"
"AF70F19D24ERS","4","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF70F19D24ERS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
"AF70F19D24ES","1","AF70F19D24EN","1.00","1132000.00","INDOOR","True"
"AF70F19D24ES","2","AF70F19D2PBX","1.00","754000.00","OUTDOOR","False"
"AF70F19D24ES","3","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF70F19D24IRS","1","AF70F19D24IN","1.00","1099000.00","INDOOR","True"
"AF70F19D24IRS","2","AF70F19D2PBX","1.00","733000.00","OUTDOOR","False"
"AF70F19D24IRS","3","AR60F06D1A0Q","1.00","200000.00","ACCESSORY","False"
"AF70F19D24IRS","4","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF70F19D24IRS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
"AF70F19D24IS","1","AF70F19D24IN","1.00","1132000.00","INDOOR","True"
"AF70F19D24IS","2","AF70F19D2PBX","1.00","754000.00","OUTDOOR","False"
"AF70F19D24IS","3","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF70F19D24LRS","1","AF70F19D24LN","1.00","1117000.00","INDOOR","True"
"AF70F19D24LRS","2","AF70F19D2PBX","1.00","745000.00","OUTDOOR","False"
"AF70F19D24LRS","3","AR60F06D1A0Q","1.00","200000.00","ACCESSORY","False"
"AF70F19D24LRS","4","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF70F19D24LRS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
